Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,809.890015,813.429993,804.109985,807.77002,807.77002,1515300
2017-01-05,807.5,813.73999,805.919983,813.02002,813.02002,1340500
2017-01-06,814.98999,828.960022,811.5,825.210022,825.210022,2017100
2017-01-09,826.369995,830.429993,821.619995,827.179993,827.179993,1408900
2017-01-10,827.070007,829.409973,823.140015,826.01001,826.01001,1197400
2017-01-11,826.619995,829.900024,821.469971,829.859985,829.859985,1325400
2017-01-12,828.380005,830.380005,821.01001,829.530029,829.530029,1349500
2017-01-13,831.0,834.650024,829.52002,830.940002,830.940002,1290200
2017-01-17,830.0,830.179993,823.200012,827.460022,827.460022,1440900
2017-01-18,829.799988,829.809998,824.080017,829.02002,829.02002,1027700
2017-01-19,829.0,833.0,823.960022,824.369995,824.369995,1070500
2017-01-20,829.090027,829.23999,824.599976,828.169983,828.169983,1306200
2017-01-23,831.609985,845.539978,828.700012,844.429993,844.429993,2457400
2017-01-24,846.97998,851.52002,842.280029,849.530029,849.530029,1688400
2017-01-25,853.549988,858.789978,849.73999,858.450012,858.450012,1655400
2017-01-26,859.049988,861.0,850.52002,856.97998,856.97998,3493300
2017-01-27,859.0,867.0,841.900024,845.030029,845.030029,3752500
2017-01-30,837.059998,837.22998,821.030029,823.830017,823.830017,3516900
2017-01-31,819.5,823.070007,813.400024,820.190002,820.190002,2020200
2017-02-01,824.0,824.0,812.25,815.23999,815.23999,2251000
2017-02-02,815.0,824.559998,812.049988,818.26001,818.26001,1689200
2017-02-03,823.130005,826.130005,819.349976,820.130005,820.130005,1528100
2017-02-06,820.919983,822.390015,814.289978,821.619995,821.619995,1350900
2017-02-07,825.5,831.919983,823.289978,829.22998,829.22998,1666600
2017-02-08,830.530029,834.25,825.109985,829.880005,829.880005,1302200
2017-02-09,831.72998,831.97998,826.5,830.059998,830.059998,1194200
2017-02-10,832.950012,837.150024,830.51001,834.849976,834.849976,1415100
2017-02-13,837.700012,841.73999,836.25,838.960022,838.960022,1295700
2017-02-14,839.77002,842.0,835.830017,840.030029,840.030029,1363300
2017-02-15,838.809998,841.77002,836.219971,837.320007,837.320007,1357200
2017-02-16,838.5,842.690002,837.26001,842.169983,842.169983,1005100
2017-02-17,841.309998,846.940002,839.780029,846.549988,846.549988,1461200
2017-02-21,847.98999,852.200012,846.549988,849.27002,849.27002,1260300
2017-02-22,848.0,853.789978,846.710022,851.359985,851.359985,1224400
2017-02-23,851.080017,852.619995,842.5,851.0,851.0,1386700
2017-02-24,847.650024,848.359985,842.960022,847.809998,847.809998,1346200
2017-02-27,844.950012,850.669983,843.01001,849.669983,849.669983,1010300
2017-02-28,847.349976,848.830017,841.440002,844.929993,844.929993,1383100
2017-03-01,851.380005,858.0,849.02002,856.75,856.75,1818700
2017-03-02,856.309998,856.48999,848.719971,849.849976,849.849976,1250900
2017-03-03,848.940002,850.820007,844.710022,849.080017,849.080017,1005000
2017-03-06,846.859985,848.940002,841.169983,847.27002,847.27002,1047900
2017-03-07,847.26001,853.330017,845.52002,851.150024,851.150024,1038700
2017-03-08,853.119995,856.929993,851.25,853.640015,853.640015,1028800
2017-03-09,853.690002,860.710022,852.669983,857.840027,857.840027,1347700
2017-03-10,862.700012,864.22998,857.609985,861.409973,861.409973,1336600
2017-03-13,860.830017,867.130005,860.820007,864.580017,864.580017,1166600
2017-03-14,863.75,867.580017,860.130005,865.909973,865.909973,1061700
2017-03-15,867.940002,869.880005,861.299988,868.390015,868.390015,1332900
2017-03-16,870.530029,872.710022,867.52002,870.0,870.0,1104500
2017-03-17,873.679993,874.419983,868.369995,872.369995,872.369995,1868300
2017-03-20,869.47998,870.340027,864.669983,867.909973,867.909973,1542200
2017-03-21,870.059998,873.469971,847.690002,850.140015,850.140015,2538000
2017-03-22,849.47998,855.349976,847.0,849.799988,849.799988,1366700
2017-03-23,841.390015,841.690002,833.0,839.650024,839.650024,3287700
2017-03-24,842.0,844.0,829.099976,835.140015,835.140015,2105700
2017-03-27,828.090027,841.380005,824.299988,838.51001,838.51001,1934600
2017-03-28,839.690002,845.400024,832.27002,840.630005,840.630005,1519200
2017-03-29,842.75,851.590027,841.380005,849.869995,849.869995,1457300
2017-03-30,851.97998,852.0,846.77002,849.47998,849.47998,949400
2017-03-31,846.830017,849.559998,845.23999,847.799988,847.799988,1441000
2017-04-03,848.75,859.0,847.530029,856.75,856.75,1969400
2017-04-04,848.0,853.0,847.51001,852.570007,852.570007,1348500
2017-04-05,854.710022,860.590027,847.52002,848.909973,848.909973,1855200
2017-04-06,849.5,853.590027,844.0,845.099976,845.099976,1533600
2017-04-07,845.0,845.880005,837.299988,842.099976,842.099976,1111600
2017-04-10,841.539978,846.73999,840.789978,841.700012,841.700012,1046200
2017-04-11,841.700012,844.630005,834.599976,839.880005,839.880005,974300
2017-04-12,838.460022,843.719971,837.590027,841.460022,841.460022,1135800
2017-04-13,841.039978,843.72998,837.849976,840.179993,840.179993,1073700
2017-04-17,841.380005,855.640015,841.030029,855.130005,855.130005,1049100
2017-04-18,852.539978,857.390015,851.25,853.98999,853.98999,936200
2017-04-19,857.390015,860.200012,853.530029,856.51001,856.51001,1080300
2017-04-20,859.73999,863.929993,857.5,860.080017,860.080017,1188800
2017-04-21,860.619995,862.440002,857.72998,858.950012,858.950012,1172900
2017-04-24,868.440002,879.960022,866.109985,878.929993,878.929993,1696500
2017-04-25,882.26001,892.25,879.280029,888.840027,888.840027,2038000
2017-04-26,891.390015,892.98999,885.150024,889.140015,889.140015,1323300
2017-04-27,890.0,893.380005,887.179993,891.440002,891.440002,2342300
2017-04-28,929.0,935.900024,923.219971,924.52002,924.52002,3845900
2017-05-01,924.150024,935.820007,920.799988,932.820007,932.820007,2327800
2017-05-02,933.27002,942.98999,931.0,937.090027,937.090027,1751300
2017-05-03,936.049988,950.200012,935.210022,948.450012,948.450012,1824800
2017-05-04,950.289978,959.140015,947.369995,954.719971,954.719971,1937600
2017-05-05,956.719971,958.440002,948.099976,950.280029,950.280029,1615500
2017-05-08,947.450012,960.98999,947.400024,958.690002,958.690002,1876700
2017-05-09,961.330017,962.200012,954.400024,956.710022,956.710022,1687900
2017-05-10,956.219971,956.710022,949.840027,954.840027,954.840027,1146000
2017-05-11,951.289978,957.98999,948.609985,955.890015,955.890015,1031100
2017-05-12,957.849976,957.97998,952.059998,955.140015,955.140015,1214900
2017-05-15,955.289978,962.700012,952.820007,959.219971,959.219971,1337700
2017-05-16,963.549988,965.900024,960.349976,964.609985,964.609985,1101500
2017-05-17,959.700012,960.98999,940.059998,942.169983,942.169983,2449100
2017-05-18,943.200012,954.179993,941.27002,950.5,950.5,1800500
2017-05-19,952.820007,959.559998,952.0,954.650024,954.650024,1360300
2017-05-22,957.0,964.820007,956.559998,964.070007,964.070007,1387400
2017-05-23,969.960022,974.51001,964.5,970.549988,970.549988,1545400
2017-05-24,975.26001,978.119995,971.630005,977.609985,977.609985,1133000
2017-05-25,979.0,995.780029,977.820007,991.859985,991.859985,1954100
2017-05-26,992.0,996.390015,987.359985,993.27002,993.27002,1636400
2017-05-30,992.5,997.619995,991.359985,996.169983,996.169983,1516200
2017-05-31,996.210022,999.599976,981.679993,987.090027,987.090027,1724100
2017-06-01,990.960022,993.140015,981.289978,988.289978,988.289978,1306400
2017-06-02,988.590027,996.47998,987.070007,996.119995,996.119995,1735500
2017-06-05,997.890015,1007.400024,995.450012,1003.880005,1003.880005,1378900
2017-06-06,1003.309998,1008.609985,994.799988,996.679993,996.679993,1552100
2017-06-07,999.090027,1003.909973,995.869995,1001.5,1001.5,1374100
2017-06-08,1004.22998,1005.599976,996.619995,1004.280029,1004.280029,1687900
2017-06-09,1005.48999,1005.5,953.369995,970.119995,970.119995,3647900
2017-06-12,958.719971,968.0,936.799988,961.809998,961.809998,4202100
2017-06-13,972.039978,977.909973,962.01001,970.5,970.5,2005400
2017-06-14,975.5,979.700012,959.51001,967.929993,967.929993,1505500
2017-06-15,948.02002,960.679993,940.369995,960.179993,960.179993,2427600
2017-06-16,957.909973,959.950012,948.700012,958.619995,958.619995,2559200
2017-06-19,969.650024,979.299988,968.200012,975.219971,975.219971,1468800
2017-06-20,975.309998,980.789978,968.200012,968.98999,968.98999,1297300
2017-06-21,970.789978,979.549988,969.450012,978.590027,978.590027,1161600
2017-06-22,976.869995,980.5,973.309998,976.619995,976.619995,1009500
2017-06-23,975.5,986.619995,974.460022,986.090027,986.090027,1564000
2017-06-26,990.0,993.98999,970.330017,972.090027,972.090027,1517900
2017-06-27,961.599976,967.219971,947.090027,948.090027,948.090027,2443600
2017-06-28,950.659973,963.23999,936.159973,961.01001,961.01001,2745600
2017-06-29,951.349976,951.659973,929.599976,937.820007,937.820007,3206700
2017-06-30,943.98999,945.0,929.609985,929.679993,929.679993,2287700
2017-07-03,933.219971,934.23999,915.309998,919.460022,919.460022,1694800
2017-07-05,924.200012,936.289978,918.630005,932.26001,932.26001,2094100
2017-07-06,925.0,936.140015,919.849976,927.690002,927.690002,2014900
2017-07-07,930.98999,944.659973,929.789978,940.809998,940.809998,1663300
2017-07-10,941.950012,953.130005,941.950012,951.0,951.0,1451500
2017-07-11,950.52002,954.890015,945.119995,953.530029,953.530029,1461200
